geo_id,fips,county,total_employed,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,other,public_admin,year
0500000US12089,12089,"Nassau County, Florida",,,,,,,,,,,,,,,2010
0500000US12091,12091,"Okaloosa County, Florida",81612,423,4438,4157,1535,12219,4218,1302,5759,9207,13743,10717,4274,9620,2010
0500000US12095,12095,"Orange County, Florida",548580,2582,32646,23039,14866,65901,31870,12054,36277,79407,103443,100412,26009,20074,2010
0500000US12097,12097,"Osceola County, Florida",117143,894,8139,4481,1611,18176,7821,1992,6081,12366,20003,27061,3583,4935,2010
0500000US12099,12099,"Palm Beach County, Florida",577572,8110,39760,22709,14634,81326,24127,13419,47843,81209,123750,63721,34344,22620,2010
0500000US12101,12101,"Pasco County, Florida",184267,1034,12874,9888,4902,28796,9462,3403,15615,18859,41329,19380,9999,8726,2010
0500000US12103,12103,"Pinellas County, Florida",409011,1619,24276,33853,11589,56772,15679,8175,36833,52263,89674,41297,21784,15197,2010
0500000US12105,12105,"Polk County, Florida",237723,4728,17511,15902,9638,34134,13751,2989,13822,21810,51154,32942,8759,10583,2010
0500000US12107,12107,"Putnam County, Florida",,,,,,,,,,,,,,,2010
0500000US12109,12109,"St. Johns County, Florida",88212,662,7068,5783,2826,11547,4162,1214,8777,10963,16851,9820,4619,3920,2010
0500000US12111,12111,"St. Lucie County, Florida",108310,1716,7015,6754,3198,19292,6198,1740,5829,9543,24687,10655,5843,5840,2010
0500000US12113,12113,"Santa Rosa County, Florida",63600,669,3829,3531,1651,9654,2292,1841,4252,8043,12264,7051,2227,6296,2010
0500000US12115,12115,"Sarasota County, Florida",146867,594,13558,6377,2914,21562,3452,2212,11747,17586,31911,19717,9669,5568,2010
0500000US12117,12117,"Seminole County, Florida",199357,1186,10789,12118,7198,26912,8676,6242,18559,28423,43040,19359,10510,6345,2010
0500000US12119,12119,"Sumter County, Florida",,,,,,,,,,,,,,,2010
0500000US12127,12127,"Volusia County, Florida",193104,2847,14355,11296,5657,31528,8377,4601,12819,19524,40719,20559,12015,8807,2010
0500000US13013,13013,"Barrow County, Georgia",,,,,,,,,,,,,,,2010
0500000US13015,13015,"Bartow County, Georgia",,,,,,,,,,,,,,,2010
0500000US13021,13021,"Bibb County, Georgia",56710,355,3152,3672,1181,7019,2122,748,5861,3732,15734,4688,4464,3982,2010
0500000US13031,13031,"Bulloch County, Georgia",,,,,,,,,,,,,,,2010
0500000US13045,13045,"Carroll County, Georgia",45665,267,4950,6713,2082,5924,2408,813,2144,3908,10390,3106,1693,1267,2010
0500000US13051,13051,"Chatham County, Georgia",117204,483,7260,9526,3212,15173,6553,1837,5887,11289,28590,13273,6434,7687,2010
0500000US13057,13057,"Cherokee County, Georgia",103598,334,8075,9291,3631,14382,4158,2710,8799,13003,20767,8401,5710,4337,2010
0500000US13059,13059,"Clarke County, Georgia",,,,,,,,,,,,,,,2010
0500000US13063,13063,"Clayton County, Georgia",107789,612,8510,7899,2320,13593,13501,2489,5925,12046,17725,11604,5462,6103,2010
0500000US13067,13067,"Cobb County, Georgia",340191,857,24548,23843,13697,39948,16334,12480,27373,55690,65729,28195,16841,14656,2010
0500000US13073,13073,"Columbia County, Georgia",55470,279,3956,6152,1308,5994,2846,772,3272,5863,13651,4908,2299,4170,2010
0500000US13077,13077,"Coweta County, Georgia",56396,140,3478,7746,1649,9349,6344,984,2461,6518,8456,3029,3395,2847,2010
0500000US13089,13089,"DeKalb County, Georgia",317645,336,20388,18296,9081,31876,17854,12088,22229,46440,70937,30979,16209,20932,2010
0500000US13095,13095,"Dougherty County, Georgia",32465,1595,611,2442,588,4148,2023,457,880,2573,10257,2627,1626,2638,2010
0500000US13097,13097,"Douglas County, Georgia",58755,0,5588,5357,2574,7415,4907,2073,3807,7624,10142,3223,3452,2593,2010
0500000US13113,13113,"Fayette County, Georgia",49988,105,2255,3975,2208,4978,7434,1367,3389,5287,9223,4863,1938,2966,2010
